,name,code,sector,main_product
221,성지건설,005980,토목 건설업,"토목공사,건축공사,전기공사,포장공사,분양,임대"
222,승리기계제작소,028540,,
223,신한은행(조흥),015580,보험업,"은행,신탁,외국환업무/부동산 임대"
224,아시아퍼시픽13호,083600,,운송장비 임대
225,아시아퍼시픽14호,083610,,운송장비 임대
226,에스와이,004530,"곡물가공품, 전분 및 전분제품 제조업","배합사료,필터플럭,타일,위생도기,건축용자재,이중바닥구조물 제조,도매"
227,에프지엔개발리츠,119250,부동산 임대 및 공급업,
228,영원통신,028520,,
229,우리금융지주,053000,기타 금융업,금융지주회사
230,인천중공업,028770,,
231,일신,031060,,
232,제일저축은행,024100,은행 및 저축기관,"상호부금,예수금수신,부금대출,여신업(할인어음)"
233,중국고섬,950070,회사 본부 및 경영 컨설팅 서비스업,폴리에스터 섬유
234,진성레미컨,002910,,
235,진영산업,004330,,
236,청화상공,016490,,
237,카스코,005330,,"특장차,자동차 부품(제동장치,현가장치,구동장치,조향장치),전용기,공장자동화장치 제조"
238,케이엠에이치,009690,절연선 및 케이블 제조업,"특수전선,열수축튜브,코드,전선,와이어,전자부품,화장품 제조,도매,수출"
239,코리아03호,090990,,운수장비 임대
